prog.name, recombinations
529LxSC_P10_A9_146,20
529LxSC_P11_A10_162,18
529LxSC_P12_A11_178,19
529LxSC_P13_A12_194,18
529LxSC_P14_B1_116,20
529LxSC_P15_B2_132,23
529LxSC_P20_B7_116,22
529LxSC_P22_B9_148,25
529LxSC_P23_B10_164,28
529LxSC_P24_B11_180,62
529LxSC_P26_C1_118,31
529LxSC_P2_A1_114,20
529LxSC_P32_C7_118,35
529LxSC_P33_C8_134,19
529LxSC_P35_C10_166,60
529LxSC_P36_C11_182,18
529LxSC_P37_C12_198,48
529LxSC_P39_D2_136,48
529LxSC_P40_D3_152,16
529LxSC_P41_D4_168,39
529LxSC_P44_D7_120,26
529LxSC_P46_D9_152,66
529LxSC_P48_D11_184,48
529LxSC_P49_D12_200,56
529LxSC_P52_E3_154,19
529LxSC_P53_E4_170,17
529LxSC_P57_E8_138,20
529LxSC_P59_E10_170,30
529LxSC_P62_F1_124,48
529LxSC_P66_F5_188,14
529LxSC_P68_F7_124,26
529LxSC_P72_F11_188,55
529LxSC_P73_F12_204,34
529LxSC_P74_G1_126,5
529LxSC_P81_G8_142,13
529LxSC_P82_G9_158,19
529LxSC_P83_G10_174,48
529LxSC_P84_G11_190,36
529LxSC_P85_G12_206,15
529LxSC_P8_A7_114,29
Mixed_Plate_S119_130,12
Mixed_Plate_S378_132,24
Mixed_Plate_S441_138,21
Mixed_Plate_S442_140,29
Mixed_Plate_S443_142,17
Mixed_Plate_S444_144,92
Mixed_Plate_S445_114,100
Mixed_Plate_S446_116,57
Mixed_Plate_S447_118,26
Mixed_Plate_S448_120,21
Mixed_Plate_S449_122,100
Mixed_Plate_S450_124,95
Mixed_Plate_S451_126,56
Mixed_Plate_S452_128,23
Mixed_Plate_S453_194,23
Mixed_Plate_S454_196,16
Mixed_Plate_S457_200,25
Mixed_Plate_S458_202,14
Mixed_Plate_S459_204,12
Mixed_Plate_S461_206,102
Mixed_Plate_S462_208,83
Mixed_Plate_S463_178,100
Mixed_Plate_S464_180,31
Mixed_Plate_S465_182,89
Mixed_Plate_S466_184,28
Mixed_Plate_S467_186,30
Mixed_Plate_S468_188,83
Mixed_Plate_S470_190,82
Mixed_Plate_S471_192,30
Mixed_Plate_S472_162,12
Mixed_Plate_S473_134,20
Mixed_Plate_S473_164,23
Mixed_Plate_S477_168,67
Mixed_Plate_S480_170,81
Mixed_Plate_S481_172,86
